"Name of Building/Facility","Address of Building/Facility - Street","Address of Building/Facility - District","Address of Building/Facility - Region","Location of Water Dispenser","Latitude","Longitude","Type of Water Dispenser","Number of Water Dispenser","Service Hours (From)","Service Hours (To)","Service Hours (Exception)","Water Temperature","Indoor/Outdoor","Remarks"
"Tseung Kwan O Sports Ground","109 Po Hong Road, Tseung Kwan O","Sai Kung","New Territories","Near store room G58 in secondary ground",22.311926,114.2636111,"Fountain type",2,"06:30","22:30","Maintenance Day","Ambient temperature","Outdoor",
"Tseung Kwan O Sports Ground","109 Po Hong Road, Tseung Kwan O","Sai Kung","New Territories","At 1/F central access to the spectator stand",22.311926,114.2636111,"Fountain type",2,"06:30","22:30","Maintenance Day","Ambient temperature","Outdoor",
"Tseung Kwan O Swimming Pool","9 Wan Lung Road, Tseung Kwan O","Sai Kung","New Territories","Lobby",22.317991,114.260201,"Fountain type",2,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Outdoor","For use by venue / facility users"
"Tseung Kwan O Swimming Pool","9 Wan Lung Road, Tseung Kwan O","Sai Kung","New Territories","Near the exit of shower bath A",22.317991,114.260201,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Outdoor","For use by venue / facility users"
"Tseung Kwan O Swimming Pool","9 Wan Lung Road, Tseung Kwan O","Sai Kung","New Territories","Near the exit of shower bath B",22.317991,114.260201,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Outdoor","For use by venue / facility users"
"Tseung Kwan O Waterfront Park","Tong Chun Street, Tseung Kwan O","Sai Kung","New Territories","Near men's toilet",22.301828,114.261437,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"Tseung Kwan O Waterfront Park","Tong Chun Street, Tseung Kwan O","Sai Kung","New Territories","Near the entrance of Oscar by the Sea",22.304022,114.264551,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"Tseung Kwan O Waterfront Park","Tong Chun Street, Tseung Kwan O","Sai Kung","New Territories","Near the entrance of Ocean Shores",22.301796,114.256981,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"Tseung Kwan O Waterfront Park","Tong Chun Street, Tseung Kwan O","Sai Kung","New Territories","Near the pier",22.301849,114.261427,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"Tsui Lam Sports Centre","Tsui Lam Estate, Tseung Kwan O","Sai Kung","New Territories","Near first aid room on the G/F",22.322175,114.249559,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature / Cold","Indoor",
"Wan Po Road Pet Garden","Wan Po Road, Tseung Kwan O ","Sai Kung","New Territories","Near accessible toilet",22.305004,114.268885,"Fountain type",1,"07:00","21:00",,"Ambient temperature","Outdoor",
"Yau Yue Wan Playground","Yau Yue Wan Village, Yau Yue Wan Village Road, Hang Hau, Tseung Kwan O. N.T.","Sai Kung","New Territories","Near accessible toilet",22.327475,114.259113,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Chui Tin Street Soccer Pitch","Chui Tin Street, Tai Wai","Sha Tin","New Territories","Near Toilet",22.373354,114.182276,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Hang Fai Street Park","Hang Fai Street, MA On Shan, Sha Tin.","Sha Tin","New Territories","Outside the Toilet",22.415138,114.226968,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"Heng On Sports Centre","4/F Heng On Commercial Centre, Heng On Estate, Ma On Shan, Sha Tin","Sha Tin","New Territories","Near men's toilet on the G/F",22.416696,114.227861,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Heng On Sports Centre","4/F Heng On Commercial Centre, Heng On Estate, Ma On Shan, Sha Tin","Sha Tin","New Territories","Near ladies' toilet on the G/F",22.416696,114.227861,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Hin Keng Sports Centre","Hin Keng Shopping Centre, Hin Keng Estate, Tai Wai, Sha Tin","Sha Tin","New Territories","Near men's toilet on the 1/F",22.363405,114.171595,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Hin Keng Sports Centre","Hin Keng Shopping Centre, Hin Keng Estate, Tai Wai, Sha Tin","Sha Tin","New Territories","Near ladies' toilet on the 1/F",22.363405,114.171595,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Hin Tin Playground","Che Kung Miu Road, Tai Wai, Sha Tin.","Sha Tin","New Territories","Near Management Office",22.365759,114.172559,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Hin Tin Swimming Pool","68 Che Kung Miu Road, Sha Tin","Sha Tin","New Territories","Near indoor Jacuzzi",22.367222,114.173333,"Fountain type",2,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Hot /Ambient temperature / Cold","Indoor","For use by venue / facility users"
"Hin Tin Swimming Pool","68 Che Kung Miu Road, Sha Tin","Sha Tin","New Territories","Outdoor paddling pool ",22.367222,114.173333,"Fountain type",2,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Outdoor","For use by venue / facility users"
"Hin Tin Swimming Pool","68 Che Kung Miu Road, Sha Tin","Sha Tin","New Territories","Ground floor lobby",22.367222,114.173333,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Cold","Indoor","For use by venue / facility users"
"Ma On Shan Park","12 On Chun Street, Ma On Shan","Sha Tin","New Territories","Near Toilet (near Park Office)",22.426352,114.230555,"Fountain type",2,"06:30","23:00",,"Cold","Outdoor",
"Ma On Shan Park","12 On Chun Street, Ma On Shan","Sha Tin","New Territories","Near Toilet (near Villa Oceania)",22.427233,114.232119,"Fountain type",1,"06:30","23:00",,"Ambient temperature / Cold","Outdoor",
"Ma On Shan Park","12 On Chun Street, Ma On Shan","Sha Tin","New Territories","Near Toilet (near Marine Plaza)",22.4278,114.231491,"Fountain type",1,"06:30","23:00",,"Ambient temperature / Cold","Outdoor",
"Ma On Shan Park","12 On Chun Street, Ma On Shan","Sha Tin","New Territories","Near Toilet (near Villa Oceania)",22.427233,114.232119,"Fountain type",1,"06:30","23:00",,"Cold","Outdoor",
"Ma On Shan Park","12 On Chun Street, Ma On Shan","Sha Tin","New Territories","Near Toilet (near Marine Plaza)",22.4278,114.231491,"Fountain type",1,"06:30","23:00",,"Cold","Outdoor",
"Ma On Shan Promenade","Ning Tai Road, Ma On Shan","Sha Tin","New Territories","South Entrance (near SKH Ma On Shan Holy Spirit Primary School)",22.407419,114.21943,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Ma On Shan Promenade","Ning Tai Road, Ma On Shan","Sha Tin","New Territories","Near Bougainvillea Garden (near Oceanaire)",22.416136,114.222711,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Ma On Shan Recreation Ground","No.1 Hang Hong Street, Ma On Shan, N.T.","Sha Tin","New Territories","Near Venue Office",22.251,114.1341,"Fountain type",1,"06:30","23:00",,"Ambient temperature","Outdoor",
"Ma On Shan Recreation Ground","No.1 Hang Hong Street, Ma On Shan, N.T.","Sha Tin","New Territories","Near toilets next to Basketball Court",22.251,114.1341,"Fountain type",1,"06:30","23:00",,"Ambient temperature","Outdoor",
"Ma On Shan Sports Centre","14 On Chun Street, Ma On Shan, Sha Tin","Sha Tin","New Territories","Outside Arena (near vending machine)",22.2534,114.1346,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Ma On Shan Sports Centre","14 On Chun Street, Ma On Shan, Sha Tin","Sha Tin","New Territories","Outside Table Tennis Room",22.2534,114.1346,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Ma On Shan Sports Centre","14 On Chun Street, Ma On Shan, Sha Tin","Sha Tin","New Territories","Outside Fitness Room",22.2534,114.1346,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Ma On Shan Sports Ground","No.1 Hang Hong Street, Ma On Shan, N.T.","Sha Tin","New Territories","Outside Men's toilets cum changing rooms",22.421231,114.227822,"Fountain type",1,"06:30","22:30","Maintenance Day","Ambient temperature","Outdoor",
"Ma On Shan Sports Ground","No.1 Hang Hong Street, Ma On Shan, N.T.","Sha Tin","New Territories","Outside Ladies' toilets cum changing rooms",22.421231,114.227822,"Fountain type",1,"06:30","22:30","Maintenance Day","Ambient temperature","Outdoor",
"Ma On Shan Swimming Pool ","33 On Chun Street, Ma On Shan","Sha Tin","New Territories","near the entrances of the men's and ladies' changing room at the pool deck area",22.426905,114.229673,"Fountain type",2,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Cold","Outdoor","For use by venue / facility users"
"Mei Lam Sports Centre","Phase III, Mei Lam Estate, Tai Wai, Sha Tin","Sha Tin","New Territories","Near men's toilet on the  G/F",22.379086,114.175601,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Mei Lam Sports Centre","Phase III, Mei Lam Estate, Tai Wai, Sha Tin","Sha Tin","New Territories","Near ladies' toilet on the  G/F",22.379086,114.175601,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Mei Lam Sports Centre","Phase III, Mei Lam Estate, Tai Wai, Sha Tin","Sha Tin","New Territories","Near entrance of arena on the G/F",22.379086,114.175601,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Ngau Pei Sha Street Playground","Ngau Pei Sha Street, Sha Tin.","Sha Tin","New Territories","Near Toilet",22.382368,114.206301,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"On King Street Park","On King Street, Sha Tin.","Sha Tin","New Territories","Arbor no.16",22.392774,114.205743,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"On Luk Street Park","On Luk Street, MA On Shan, Sha Tin.","Sha Tin","New Territories","Outside the Toilet",22.422219,114.231168,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"On Muk Street Garden","On Muk Street, Sha Tin.","Sha Tin","New Territories","Next to Piazza",22.389335,114.205074,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"On Muk Street Garden","On Muk Street, Sha Tin.","Sha Tin","New Territories","Tai Chi Area",22.389335,114.205074,"Fountain type",2,"00:00","24:00",,"Cold","Outdoor",
"Pak Shek Kok Promenade","Science Park Road, Sha Tin.","Sha Tin","New Territories","Near Management Office",22.425405,114.213513,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Sha Tin Jockey Club Public Squash Courts","12 Yuen Wo Road, Sha Tin","Sha Tin","New Territories","Near men's toilet on the G/F",22.384734,114.19402,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Sha Tin Jockey Club Public Squash Courts","12 Yuen Wo Road, Sha Tin","Sha Tin","New Territories","Near ladies' toilet on the G/F",22.384734,114.19402,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Sha Tin Jockey Club Swimming Pool","No 10, Yuen Wo Road, Sha Tin","Sha Tin","New Territories","First floor near men's toilet B Entrance",22.38382,114.193131,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Outdoor","For use by venue / facility users"
"Sha Tin Jockey Club Swimming Pool","No 10, Yuen Wo Road, Sha Tin","Sha Tin","New Territories","First floor near ladies' toilet B Entrance",22.38383,114.193146,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Outdoor","For use by venue / facility users"
"Sha Tin Jockey Club Swimming Pool","No 10, Yuen Wo Road, Sha Tin","Sha Tin","New Territories","Ground floor lobby",22.38382,114.193131,"Fountain type",2,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Sha Tin Park","2 Yuen Wo Road, Sha Tin","Sha Tin","New Territories","Near Toilet (near North Garden)",22.379481,114.189882,"Fountain type",1,"06:30","23:00",,"Ambient temperature","Outdoor",
"Sha Tin Park","2 Yuen Wo Road, Sha Tin","Sha Tin","New Territories","Near Toilet (near Artists' Corner)",22.381061,114.191421,"Fountain type",1,"06:30","23:00",,"Ambient temperature","Outdoor",
"Sha Tin Road Safety Park","1 Kong Pui Street, Sha Tin.","Sha Tin","New Territories","Near Management Office",22.380678,114.196236,"Fountain type",1,"08:00","23:00",,"Ambient temperature","Outdoor",
"Sha Tin Sports Ground","No. 18, Yuen Wo Road, Shatin","Sha Tin","New Territories","Near Men's Toilet (No.3-4 of Spectator Stands Access)",22.386944,114.196389,"Fountain type",1,"07:00","22:30","Maintenance Day","Ambient temperature","Outdoor",
"Sha Tin Sports Ground","No. 18, Yuen Wo Road, Shatin","Sha Tin","New Territories","Near Ladies' Changing Room (No.5-6 of Spectator Stands Access)",22.3875,114.196667,"Fountain type",1,"07:00","22:30","Maintenance Day","Ambient temperature","Outdoor",
"Shek Mun Playground","On Ping Street, Sha Tin.","Sha Tin","New Territories","Near Basketball Court (Opposite Tai Chi Area)",22.391801,114.207267,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Shek Mun Playground","On Ping Street, Sha Tin.","Sha Tin","New Territories","Near Basketball Court (Opposite Toilet)",22.391801,114.207267,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Shing Mun River Promenade Garden No. 1","Tai Chung Kiu Road, Sha Tin.","Sha Tin","New Territories","Near Toilet",22.376984,114.189933,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Shing Mun River Promenade Garden No. 2","Tai Chung Kiu Road, Sha Tin.","Sha Tin","New Territories","Near Toilet",22.389439,114.202346,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Siu Lek Yuen Road Playground","1 Siu Lek Yuen Road, Sha Tin.","Sha Tin","New Territories","Near the check-in counter",22.388255,114.204559,"Fountain type",1,"07:00","23:00",,"Ambient temperature / Cold","Outdoor",
"Siu Lek Yuen Road Playground","1 Siu Lek Yuen Road, Sha Tin.","Sha Tin","New Territories","At Adventure Cycling Area",22.385145,114.207754,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Tai Wai Soccer Pitch","Decking of Shing Mun River (Tai Wai Section)","Sha Tin","New Territories","Soccer Pich",22.375438,114.180291,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Tsang Tai Uk Recreation Ground","No. 2 Sha Kok Street, Shatin, N.T.","Sha Tin","New Territories","Outside Men's Changing Room",22.375089,114.190299,"Fountain type",1,"07:00","23:00",,"Cold","Outdoor",
"Tsang Tai Uk Recreation Ground","No. 2 Sha Kok Street, Shatin, N.T.","Sha Tin","New Territories","Outside Ladies' Changing Room",22.375121,114.190236,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Tsang Tai Uk Recreation Ground","No. 2 Sha Kok Street, Shatin, N.T.","Sha Tin","New Territories","Near Basketball court, Pok Hong Area C",22.375959,114.193758,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Tung Lo Wan Hill Road Garden","Tung Lo Wan Hill Road, Tai Wai, Sha Tin.","Sha Tin","New Territories","Near Elderly Fitness Corner",22.381687,114.180088,"Fountain type",1,"06:30","23:00",,"Ambient temperature","Outdoor",
"University Station Cycling Entry/Exit Hub","Chak Cheung Street, University Station, Sha Tin.","Sha Tin","New Territories","Near First Aid Office",22.497246,114.121383,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Yuen Chau Kok Public Library","High Block of Yuen Chau Kok Complex, No.35, Ngan Shing Street ","Sha Tin","New Territories","Near toilet on 3/F",22.379366,114.204797,"Fountain type",2,"09:00","20:00","* All libraries will be closed on the following public holidays : New Year's Day, The First, Second and Third Day of the Chinese New Year, Good Friday, Christmas Day and Boxing Day. (All libraries will be closed at 5:00 p.m. on the following days : New Year's Eve, Chinese New Year's Eve, Mid-Autumn Festival and Christmas Eve)","Ambient Temperature","Indoor","Special opening arrangement:
Thursday: 12:00 noon - 8:00 p.m.
Sunday and *Public Holidays: 9:00 a.m. - 5:00 p.m.

"
"Yuen Chau Kok Sports Centre","35 Ngan Shing Street, Sha Tin","Sha Tin","New Territories","Along the corridor of lobby at G/F",22.3794,114.2043,"Fountain type",2,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Yuen Chau Kok Sports Centre","35 Ngan Shing Street, Sha Tin","Sha Tin","New Territories","Near entrance of arena on the 1/F",22.3794,114.2043,"Fountain type",2,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Yuen Chau Kok Sports Centre","35 Ngan Shing Street, Sha Tin","Sha Tin","New Territories","Near lockers on the 2/F (High Block)",22.3794,114.2043,"Fountain type",2,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Yuen Chau Kok Sports Centre","35 Ngan Shing Street, Sha Tin","Sha Tin","New Territories","Inside First Aid Room",22.3794,114.2043,"Non-fountain type",1,"07:00","23:00","Maintenance Day","Hot / Cold","Indoor",
"Yuen Chau Kok Sports Centre","35 Ngan Shing Street, Sha Tin","Sha Tin","New Territories","Inside Babycare Room",22.3794,114.2043,"Non-fountain type",1,"07:00","23:00","Maintenance Day","Hot / Cold","Indoor",
"Yuen Wo Playground","16Yuen Wo Road, shatin","Sha Tin","New Territories","Outside men's changing room",22.385556,114.195556,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Yuen Wo Playground","16Yuen Wo Road, shatin","Sha Tin","New Territories","Outside ladies' changing room",22.385556,114.195833,"Fountain type",1,"07:00","23:00",,"Cold","Outdoor",
"Yuen Wo Road Sports Centre","8 Yuen Wo Road, Sha Tin","Sha Tin","New Territories","Near accessible toilet on the G/F",22.382891,114.192688,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature / Cold","Indoor",
"Fu Heng Sports Centre","1/F,Fu Heng Shopping Centre, Fu Heng Estate,Tai Po,N.T.","Tai Po","New Territories","Outside the ladies' toilets cum changing rooms",22.458468,114.171191,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Fu Shin Sports Centre","6/F, Multi-storey Car-park Building, Fu Shin Estate, Tai Po","Tai Po","New Territories","Outside men's changing room",22.453705,114.174925,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Fu Shin Sports Centre","6/F, Multi-storey Car-park Building, Fu Shin Estate, Tai Po","Tai Po","New Territories","Outside fitness room",22.453705,114.174925,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Kwong Fuk Football Ground","Kwong Fuk Road, Tai Po","Tai Po","New Territories","Near the check-in counter",22.44743,114.171566,"Fountain type",1,"08:00","23:00",,"Cold","Outdoor",
"Kwong Fuk Park","Kwong Chun Street, Tai Po","Tai Po","New Territories","Near the central main entrance",22.445451,114.173625,"Fountain type",1,"08:00","23:00",,"Cold","Outdoor",
"Mui Shue Hang Playground","Mui Shue Hang Road Tai Po","Tai Po","New Territories","Outside the accessible toilet",22.455071,114.152221,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Mui Shue Hang Playground","Mui Shue Hang Road Tai Po","Tai Po","New Territories","Outside the ladies' toilet",22.455071,114.152221,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Shuen Wan Joint Village Basketball Court","Ting Kok Road, Tai Po","Tai Po","New Territories","Near the entrance",22.468201,114.209389,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Tai Mei Tuk Water Sports Centre","Main Dam of Plover Cove Reservoir, Tai Po","Tai Po","New Territories","Adjacent to Locker Block at G/F",22.46824,114.233299,"Fountain type",1,"08:30","17:00","Closed on every Wednesday","Ambient temperature","Outdoor","For use by venue / facility hirers"
"Tai Mei Tuk Water Sports Centre","Main Dam of Plover Cove Reservoir, Tai Po","Tai Po","New Territories","1/F Podium",22.46824,114.233299,"Fountain type",1,"08:30","17:00","Closed on every Wednesday","Ambient temperature","Outdoor","For use by venue / facility hirers"
"Tai Po Hui Sports Centre","6/F, Tai Po Complex, No. 8 Heung Sze Wui Street, Tai Po","Tai Po","New Territories","Outside men's toilets cum changing rooms on the 6/F",22.446396,114.166209,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Tai Po Hui Sports Centre","6/F, Tai Po Complex, No. 8 Heung Sze Wui Street, Tai Po","Tai Po","New Territories","Outside ladies' toilets cum changing rooms on the 6/F",22.446396,114.166209,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Tai Po Hui Sports Centre","6/F, Tai Po Complex, No. 8 Heung Sze Wui Street, Tai Po","Tai Po","New Territories","7/F lobby ",22.446396,114.166209,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Tai Po Sports Centre","13 Ting Tai Road, Tai Po.","Tai Po","New Territories","G/F lobby",22.455905,114.16484,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature / Cold","Indoor",
"Tai Po Sports Centre","13 Ting Tai Road, Tai Po.","Tai Po","New Territories","1/F lobby",22.455905,114.16484,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature / Cold","Indoor",
"Tai Po Sports Ground","21 Tai Po Tau Road, Tai Po","Tai Po","New Territories","Outside the men's and ladies' toilets at the main spectator stand (Sports Ground)",22.4551963,114.1676565,"Fountain type",4,"07:00","22:30","Maintenance Day","Ambient temperature","Outdoor",
"Tai Po Sports Ground","21 Tai Po Tau Road, Tai Po","Tai Po","New Territories","Outside the men's and ladies' toilets at the second spectator stand (Sports Ground)",22.4551963,114.1676565,"Fountain type",4,"07:00","22:30","Maintenance Day","Ambient temperature","Outdoor",
"Tai Po Sports Ground","21 Tai Po Tau Road, Tai Po","Tai Po","New Territories","Outside the men's toilet (Squash and Tennis Centre)",22.455775,114.1611922,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Indoor",
"Tai Po Sports Ground","21 Tai Po Tau Road, Tai Po","Tai Po","New Territories","Outside the ladies' toilet (Squash and Tennis Centre)",22.455775,114.1611922,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Indoor",
"Tai Po Swimming Pool","11 Ting Tai Road, Tai Po","Tai Po","New Territories","Outside the entrance of the men's changing room at G/F lobby ",22.454964,114.16395,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Tai Po Swimming Pool","11 Ting Tai Road, Tai Po","Tai Po","New Territories","Outside the entrance of the ladies' changing room at G/F lobby ",22.454964,114.16395,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Tai Po Waterfront Park","Dai Fat Street, Tai Po, New Territories","Tai Po","New Territories","Lower water features ",22.44972,114.18055,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Tai Po Waterfront Park","Dai Fat Street, Tai Po, New Territories","Tai Po","New Territories","Pavilion no. 1",22.4525,114.18194,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Tai Po Waterfront Park","Dai Fat Street, Tai Po, New Territories","Tai Po","New Territories","Pebble walking trail",22.45138,114.18055,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Tai Po Waterfront Park","Dai Fat Street, Tai Po, New Territories","Tai Po","New Territories","Toilet no. 2 (at the entrance of the bowling greens)",22.45277,114.17861,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"Tai Po Waterfront Park","Dai Fat Street, Tai Po, New Territories","Tai Po","New Territories","Toilet no. 3",22.45222,114.18138,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Tai Po Waterfront Park","Dai Fat Street, Tai Po, New Territories","Tai Po","New Territories","Toilet no. 4",22.45,114.17805,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Tai Po Waterfront Park","Dai Fat Street, Tai Po, New Territories","Tai Po","New Territories","Twin pavilion",22.45138,114.19138,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Tai Po Waterfront Park","Dai Fat Street, Tai Po, New Territories","Tai Po","New Territories","Near Angling Ancillary Facilities ",22.451084,114.192827,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Tai Wo Sports Centre","Podium Level ,Tai Wo Shopping Centre,Tai Wo Estate,Tai Po,N.T.","Tai Po","New Territories","Outside men's toilets cum changing rooms on the G/F",22.451158,114.160355,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature / Cold","Indoor",
"Wan Tau Kok Playground","Wan Tau Kok Lane, Tai Po","Tai Po","New Territories","Near the check-in counter (near the entrance of the ladies' toilet)",22.445838,114.169433,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"Yuen Chau Tsai Park","Yuen Chau Tsai, Tai Po","Tai Po","New Territories","Outside the men's and ladies' toilets",22.446071,114.177292,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Chai Wan Kok Playground","No. 198,Tsuen King Circuit, Tsuen Wan.","Tsuen Wan","New Territories","By the side of staircase which connected the basketball Court and practice court",22.376003,114.10428,"Fountain type",1,"06:30","22:00",,"Ambient temperature","Outdoor",
"Lido Beach","11 1/2 Milestone, Castle Peak Road, Ting Kau","Tsuen Wan","New Territories","Outside Beach Services Building Changing Room",22.36808,114.076291,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Ma Wan Tung Wan Beach","Pak Lai Road, Ma Wan","Tsuen Wan","New Territories","Outside Beach Services Building Changing Room",22.350972,114.061641,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Sha Tsui Road Playground","No. 171-199, Sha Tsui Road, Tsuen Wan ","Tsuen Wan","New Territories","Outside the enquiry counter of the playground ",22.372307,114.113426,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Indoor",
"Sham Tsz Street Playground","Sham Tsz Street, ","Tsuen Wan","New Territories","Outside the male toilet",22.365304,114.064114,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
